chromosome_name	start_position	end_position	strand	ensembl_gene_id	hgnc_symbol	entrezgene_id	gene_biotype
HG991_PATCH	66119285	66465398	1	ENSG00000261657	SLC25A26	115286	protein_coding
13	23551994	23552136	-1	ENSG00000223116			miRNA
13	23708313	23708703	1	ENSG00000233440	HMGA1P6		pseudogene
13	23726725	23726825	-1	ENSG00000207157	RNY3P4		misc_RNA
13	23743974	23744736	-1	ENSG00000229483	LINC00362		lincRNA
13	23791571	23791673	-1	ENSG00000252952	RNU6-58P	100873766	snRNA
13	23817659	23821323	1	ENSG00000235205	TATDN2P3		pseudogene
13	93708910	93710179	1	ENSG00000232849	LINC00363		lincRNA
13	23841645	23843289	1	ENSG00000236803	SDAD1P4		pseudogene
13	23947562	23948200	1	ENSG00000232163	RPLP1P13		pseudogene
13	94021100	94021213	-1	ENSG00000252365			snoRNA
13	23993110	24002818	1	ENSG00000229558	SACS-AS1	100506680	lincRNA
13	94047230	94048108	-1	ENSG00000235784	HNRNPA1P29		pseudogene
13	94470677	94488397	-1	ENSG00000224394	GPC6-AS2		antisense
13	94677724	94677852	-1	ENSG00000212559	RNA5SP35		rRNA
13	24040710	24061603	1	ENSG00000232977	LINC00327	100506697	lincRNA
13	94806447	94840245	-1	ENSG00000236520	GPC6-AS1	100873972	antisense
13	24072935	24077013	1	ENSG00000227893	LINC00352		lincRNA
13	95117554	95117644	-1	ENSG00000212057			miRNA
13	95303651	95303783	-1	ENSG00000222129	RNA5SP36		rRNA
13	24340073	24340243	-1	ENSG00000232102	MTCO3P2		pseudogene
13	95351479	95351756	-1	ENSG00000242037	RN7SL585P		misc_RNA
13	95351948	95355116	-1	ENSG00000238230	LINC00391		lincRNA
13	95364970	95368500	1	ENSG00000227640	SOX21-AS1	100507533	lincRNA
13	24463028	24471402	1	ENSG00000205861	C1QTNF9B-AS1		antisense
13	95409705	95411526	-1	ENSG00000235768	BRD7P5		pseudogene
13	95412807	95413269	-1	ENSG00000237924	RPL21P112		pseudogene
13	95612295	95613573	1	ENSG00000260962	LINC00557		lincRNA
13	95671489	95671590	1	ENSG00000252335	RNU6-62P		snRNA
13	95862598	95862702	1	ENSG00000238463			snoRNA
13	95963084	95963209	-1	ENSG00000223298	RNY3P8		misc_RNA
13	24513696	24520921	-1	ENSG00000196593	ANKRD20A19P		pseudogene
13	95988360	95988455	-1	ENSG00000200211	RNY4P27		misc_RNA
13	96046303	96046708	1	ENSG00000271492	MEMO1P5		pseudogene
13	96131698	96186164	-1	ENSG00000223392	CLDN10-AS1	100874194	antisense
13	24553949	24609166	1	ENSG00000228741		221178	lincRNA
13	96300987	96329179	-1	ENSG00000247400	DNAJC3-AS1	100289274	lincRNA
13	24696204	24697953	-1	ENSG00000225674	IPO7P2		pseudogene
13	96344792	96346226	1	ENSG00000229622	MTND5P2		pseudogene
13	24736555	24736643	1	ENSG00000252695	MIR2276	100313842	miRNA
13	24826887	24828577	-1	ENSG00000227213	SPATA13-AS1	100874231	antisense
13	96346237	96346749	-1	ENSG00000227714	MTND6P18		pseudogene
13	24889863	24895736	-1	ENSG00000240868	C1QTNF9-AS1		antisense
13	96346823	96347959	1	ENSG00000232373	MTCYBP3		pseudogene
13	24902349	24903210	1	ENSG00000234627	NUS1P3		pseudogene
13	96366931	96367032	-1	ENSG00000251901			snoRNA
13	24905588	24911259	1	ENSG00000261498	LINC00566		lincRNA
13	96461564	96461861	-1	ENSG00000226977	HMGN1P24		pseudogene
13	24974841	24975167	1	ENSG00000233545	CYCSP33		pseudogene
13	96821799	96822099	1	ENSG00000242614	RN7SL164P		misc_RNA
13	97225913	97226753	1	ENSG00000233273	AMMECR1LP1		pseudogene
13	24982295	25171814	1	ENSG00000205822	TPTE2P6		pseudogene
13	97536096	97542067	-1	ENSG00000235137	HSP90AB6P		pseudogene
13	97593535	97636426	-1	ENSG00000243300	LINC00359	100887754	lincRNA
13	25129366	25129451	-1	ENSG00000266216			miRNA
13	25140981	25144866	1	ENSG00000244615	PSPC1P2		pseudogene
13	97599891	97601181	-1	ENSG00000234267	TULP3P1		pseudogene
13	25141011	25171814	1	ENSG00000243008			processed_transcript
